,url,brand,model,version,year,km,price
80,/clasificados/usados/seat/ibiza/sport--20l-5p/17694692,seat,ibiza,sport  2.0l 5p,2003,100000,46000
81,/clasificados/usados/ford/windstar/se/17820896,ford,windstar,se,2003,147500,47000
82,/clasificados/usados/ford/windstar/limited/17717848,ford,windstar,limited,2002,150000,47000
83,/clasificados/usados/chevrolet/venture/34l-ls-a-regular/17833090,chevrolet,venture,3.4l ls a regular,2003,153000,48500
84,/clasificados/usados/mitsubishi/eclipse/gt/17810056,mitsubishi,eclipse,gt,2003,135115,49000
85,/clasificados/usados/volkswagen/sedan/clasico/17732013,volkswagen,sedan,clasico,2002,165000,49500
86,/clasificados/usados/chevrolet/impala/38l-ls-aut/17704812,chevrolet,impala,3.8l ls aut,2003,250000,49500
87,/clasificados/usados/honda/accord/ex-30l-v6/17696262,honda,accord,ex 3.0l v6,2003,242000,50000
88,/clasificados/usados/volkswagen/beetle/gls-20/17813842,volkswagen,beetle,gls 2.0,2003,213442,51000
89,/clasificados/usados/nissan/altima/sl-25l/17816329,nissan,altima,sl 2.5l,2003,176,51998
90,/clasificados/usados/chrysler/town-and-country/limited-38l/17834772,chrysler,town and country,limited 3.8l,2002,190,52000
91,/clasificados/usados/chevrolet/zafira/18l-m/17691089,chevrolet,zafira,1.8l m,2002,100000,54000
92,/clasificados/usados/chevrolet/astra/4p-18l-tipico/17680438,chevrolet,astra,4p 1.8l tipico,2003,124000,54000
93,/clasificados/usados/nissan/altima/sl-25l/17820155,nissan,altima,sl 2.5l,2002,180000,55000
94,/clasificados/usados/audi/a3/18l-attraction/17813469,audi,a3,1.8l attraction,2003,113000,55000
95,/clasificados/usados/ford/expedition/limited-4x4/17719796,ford,expedition,limited 4x4,2002,167,55000
96,/clasificados/usados/ford/escape/limited/17700887,ford,escape,limited,2003,236762,55000
97,/clasificados/usados/ford/windstar/se/17696406,ford,windstar,se,2003,167000,55000
98,/clasificados/usados/ford/windstar/se/17872777,ford,windstar,se,2002,140000,55500
99,/clasificados/usados/nissan/estacas/largo-tm5/17702432,nissan,estacas,largo tm5,2002,190000,56000
100,/clasificados/usados/seat/toledo/18-signo-(125hp)/17693300,seat,toledo,1.8 signo (125hp),2003,103400,59000
101,/clasificados/usados/ford/explorer/eddie-bauer-4x4-40l-v6/17701511,ford,explorer,eddie bauer 4x4 4.0l,2002,200856,60000
102,/clasificados/usados/honda/civic/lx-17l/17693964,honda,civic,lx 1.7l,2003,288000,60000
103,/clasificados/usados/nissan/sentra/xe-18l/17694721,nissan,sentra,xe 1.8l,2002,224000,61000
104,/clasificados/usados/ford/windstar/lx/17692836,ford,windstar,lx,2003,170000,62000
105,/clasificados/usados/volkswagen/jetta/20/17729042,volkswagen,jetta,2.0,2002,205000,63000
106,/clasificados/usados/ford/explorer/limited-4x4/17868975,ford,explorer,limited 4x4,2002,344399,64700
107,/clasificados/usados/ford/f-150/xl-42l-v6/17868338,ford,f-150,xl 4.2l v6,2002,140000,65000
